Name, Address, Zipcode, Distance_from_94114, lat, lng 
Al Hamra,  3083 16th St. San Francisco, 94103, 1.219, 37.76494, -122.421363
Amber Dhara,  680 Valencia St. San Francisco, 94110, 0.995, 37.76201, -122.421607
Amber India,  25 Yerba Buena Lane San Francisco, 94103, 3.594, 37.78584, -122.404403
Ananda Fuara,  1298 Market St. San Francisco, 94102, 1.830, 37.77782, -122.415901
Dosa ,  995 Valencia St. San Francisco, 94110, 1.295, 37.75699, -122.421134
Aslam's Rasoi,  1037 Valencia St. San Francisco, 94110, 1.342, 37.75629, -122.421066
Chaat Cafe,  320 Third St. San Francisco, 94107, 3.612, 37.78353, -122.398628
Curry Boyzz,  4238 18th St. San Francisco, 94114, 0.217, 37.76079, -122.436767
Dosa on Fillmore,  1700 Fillmore St. San Francisco, 94115, 2.255, 37.78530, -122.433120
Gajalee,  525 Valencia St. San Francisco, 94110, 1.168, 37.76456, -122.421852
Guddu de Kahari,  1501 Noriega St. San Francisco, 94122, 3.409, 37.75410, -122.479827
India Clay Oven,  2436 Clement St. San Francisco, 94121, 4.449, 37.78198, -122.485511
India Garden,  1261 Folsom St. San Francisco, 94103, 2.327, 37.77425, -122.411010
India Palace,  1740 Fillmore St. San Francisco, 94115, 2.288, 37.78577, -122.433219
Indian Oven,  233 Fillmore San Francisco, 94117, 1.180, 37.77166, -122.430374
Kasa Indian Eatery,  4001 18th St. San Francisco, 94114, 0.356, 37.76102, -122.432914
Little Delhi,  83 Eddy St. San Francisco, 94102, 2.508, 37.78437, -122.409187
Maharani,  1122 Post St. San Francisco, 94109, 2.475, 37.78677, -122.420280
Masala,  1220 Ninth Ave. San Francisco, 94122, 2.252, 37.76550, -122.466407
Naan 'n' Chutney,  525 Haight St. San Francisco, 94117, 1.318, 37.77205, -122.430885
Noori,  1924 Irving St. San Francisco, 94122, 2.927, 37.76351, -122.478706
Pakwan,  3180 16th St. San Francisco, 94103, 1.100, 37.76481, -122.423637
Prana,  540 Howard St. San Francisco, 94105, 3.792, 37.78768, -122.397094
Raja Cuisine of India,  500 Haight St. San Francisco, 94117, 1.322, 37.77206, -122.430801
Rotee,  400 Haight St. San Francisco, 94117, 1.424, 37.77230, -122.428962
Roti Indian Bistro,  53 W. Portal Ave. San Francisco, 94127, 2.788, 37.74029, -122.466300
Shalimar,  532 Jones St. San Francisco, 94102, 2.490, 37.78610, -122.413040
Taste of the Himalayas,  2420 Lombard St. San Francisco, 94123, 2.979, 37.79922, -122.441337
Udupi Palace,  1007 Valencia St. San Francisco, 94110, 1.316, 37.75667, -122.421104
Urban Curry,  523 Broadway San Francisco, 94133, 3.965, 37.79797, -122.405876
Viva Goa,  2420 Lombard St. San Francisco, 94123, 2.979, 37.79922, -122.441337
Hong Kong Lounge 2,  3300 Geary Blvd. San Francisco, 94118, 2.746, 37.78166, -122.454170
Ton Kiang,  5821 Geary Blvd. San Francisco, 94121, 4.125, 37.78016, -122.481925
Yank Sing,  101 Spear St. San Francisco, 94105, 4.253, 37.79253, -122.394065
Canton,  655 Folsom St. San Francisco, 94107, 3.516, 37.78451, -122.398017
Dragon Well,  2142 Chestnut St. San Francisco, 94123, 3.195, 37.80050, -122.438728
Gold Mountain,  644 Broadway San Francisco, 94133, 3.862, 37.79773, -122.407791
Gourmet Carousel,  1559 Franklin St. San Francisco, 94109, 2.574, 37.78893, -122.423736
Great Eastern,  649 Jackson St. San Francisco, 94133, 3.530, 37.79611, -122.406036
Jasmine Tea House,  3253 Mission St. San Francisco, 94110, 1.798, 37.74476, -122.420433
Kirin,  6135 Geary Blvd. San Francisco, 94121, 4.309, 37.78000, -122.485313
Lichee Garden,  1416 Powell St. San Francisco, 94133, 3.748, 37.79780, -122.410362
Louie's California Chinese Cuisine,  646 Washington St. San Francisco, 94111, 3.519, 37.79541, -122.404335
M.Y. China,  845 Market St. San Francisco, 94103, 2.507, 37.78480, -122.407051
Old Mandarin Islamic,  3132 Vicente St. San Francisco, 94116, 4.971, 37.73821, -122.500747
R & G Lounge,  631 Kearny St. San Francisco, 94108, 3.417, 37.79411, -122.404731
S&T Hong Kong Seafood,  2588 Noriega San Francisco, 94122, 4.038, 37.75359, -122.491363
Spices I,  294 Eighth Ave. San Francisco, 94118, 3.425, 37.78293, -122.466583
Spices II,  291 Sixth Ave. San Francisco, 94118, 3.320, 37.78320, -122.464447
Burma Super Star,  309 Clement St. San Francisco, 94118, 3.201, 37.78305, -122.462532
Coriya Restaurant,  852 Clement St. San Francisco, 94118, 3.509, 37.78278, -122.468208
Dragon River,  5045 Geary Blvd. San Francisco, 94118, 3.659, 37.78054, -122.473365
Eliza's,  2877 California San Francisco, 94115, 2.210, 37.78790, -122.441741
Eric's Restaurant,  1500 Church St. San Francisco, 94131, 1.245, 37.74674, -122.426956
Green Garden,  434 Broadway San Francisco, 94133, 4.041, 37.79814, -122.404495
Hakkasan,  1 Kearny St. San Francisco, 94108, 3.073, 37.78796, -122.403480
House of Nanking,  919 Kearny St. San Francisco, 94133, 3.545, 37.79659, -122.405235
Jai Yun,  680 Clay San Francisco, 94111, 3.376, 37.79450, -122.404495
Lucky Fortune Seafood Restaurant,  5715 Geary Blvd. San Francisco, 94121, 4.062, 37.78021, -122.480773
Mama Ji's,  4416 18th St. San Francisco, 94114, 0.320, 37.76067, -122.438667
Mayflower,  6255 Geary Blvd. San Francisco, 94121, 4.381, 37.77994, -122.486625
Miriwa,  728 Pacific San Francisco, 94133, 3.499, 37.79685, -122.407295
Nan King Road Bistro,  1360 9th Ave. San Francisco, 94122, 2.176, 37.76292, -122.466232
Shanghai Dumpling King,  3319 Balboa St. San Francisco, 94121, 4.688, 37.77584, -122.494483
Taiwan Restaurant,  445 Clement St. San Francisco, 94118, 3.335, 37.78298, -122.463836
The Pot Sticker,  150 Waverly Place San Francisco, 94108, 3.344, 37.79464, -122.406921
Wo Hing General Store,  584 Valencia St. San Francisco, 94110, 1.100, 37.76355, -122.421752
Y. Ben House,  835 Pacific Ave. San Francisco, 94133, 3.842, 37.79662, -122.409118
Mission Chinese Food,  2234 Mission St. San Francisco, 94110, 1.143, 37.76116, -122.419288
Cheung Hing,  2339 Noriega St. San Francisco, 94122, 3.891, 37.75371, -122.488677
China First,  336 Clement St. San Francisco, 94118, 3.224, 37.78303, -122.462951
Hakka Restaurant,  4401 Cabrillo St. San Francisco, 94121, 5.188, 37.77345, -122.505905
Henry's Hunan Restaurant,  110 Natoma St. San Francisco, 94105, 3.757, 37.78708, -122.398948
